,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е
0,абазинский,9.35,2.4,1.0,4.2,7.4,8.9,6.0,33.9
1,аблатив,11.02,0.0,1.3,3.2,11.9,3.7,16.3,18.8
2,аблаут,4.55,1.2,1.6,3.4,6.9,4.1,2.8,0.0
3,абсолютив,11.97,2.4,0.7,2.8,4.9,5.4,18.5,9.9
4,абсолютивный,6.55,2.4,0.7,2.5,2.8,3.9,8.6,6.1
5,абсолютус,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,абхазский,15.85,2.4,2.5,21.1,37.9,10.7,9.2,2.8
7,аварский,130.25,8.4,7.7,38.4,177.1,108.9,111.8,6.1
8,авестийский,1.56,2.4,2.3,0.5,0.9,0.9,1.7,3.3
9,австралийский,11.53,6.0,1.0,7.8,12.2,7.0,12.9,3.8
10,австрийский,9.15,1.2,4.4,2.7,14.1,6.2,8.7,3.3
11,автоматизация,10.28,2.4,8.5,11.4,10.5,9.4,5.7,4.7
12,автоматизированный,12.87,6.0,4.2,7.3,11.3,13.0,8.0,8.9
13,автоматический,58.68,6.0,27.0,38.4,42.5,55.1,42.6,32.0
14,агглютинативность,0.63,0.0,0.2,0.5,0.8,0.6,0.4,0.5
15,агглютинативный,12.95,0.0,24.0,17.8,9.5,9.8,7.8,14.6
16,агглютинация,5.74,1.2,6.4,10.9,4.8,4.9,2.7,1.4
17,агглютинирующий,0.9,0.0,1.8,2.5,0.5,0.7,0.3,1.4
18,агенс,30.32,0.0,2.9,30.7,17.2,21.6,30.8,17.4
19,адаптация,59.8,1.2,8.2,15.6,24.6,53.3,56.1,97.3
20,адвербиализация,4.18,2.4,2.0,3.7,1.5,4.3,2.8,0.0
21,адвербиальный,27.51,0.0,4.1,21.5,25.7,22.6,23.3,8.9
22,адресант,58.51,2.4,1.8,5.5,33.4,54.7,54.6,41.4
23,адресат,256.8,28.7,17.3,56.6,194.1,247.0,212.1,163.2
24,адъективация,6.11,2.4,2.0,9.2,3.6,6.2,3.1,0.0
25,адъективный,57.28,0.0,8.8,55.3,52.6,46.5,46.8,26.8
26,адыгейский,47.31,2.4,3.8,8.7,41.3,49.6,31.8,56.4
27,адыгский,0.53,0.0,0.0,0.5,1.6,0.3,0.3,1.4
28,азбука,40.7,53.9,28.1,24.4,25.2,29.4,40.3,20.2
29,азербайджанский,128.87,16.8,764.0,473.4,65.1,43.6,31.0,35.7
30,аканье,11.73,28.7,11.9,7.5,6.8,6.8,13.2,1.4
31,аккомодация,1.6,0.0,0.5,3.8,1.6,1.0,1.1,1.9
32,аккузатив,32.13,2.4,2.1,5.9,16.9,16.8,44.2,73.3
33,аккузативный,0.74,0.0,0.0,0.2,0.2,0.8,0.6,1.9
34,аккультурация,1.58,0.0,0.0,0.7,1.3,1.1,1.8,0.0
