,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP,D,R
166,близкородственный,18.6,8.4,15.7,25.4,14.7,13.8,13.7,16.0,0.28,93.47,123.0
167,богемистика,0.18,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.9015,63.77,11.0
168,боковой,4.72,8.4,6.2,6.0,2.8,2.9,3.9,11.3,0.3713,91.42,106.0
169,болгарский,80.76,107.7,112.7,77.1,69.5,62.3,57.7,34.3,0.3012,92.79,123.0
170,бразильский,1.48,0.0,1.1,1.3,0.5,0.8,0.9,22.6,0.6841,70.9,43.0
171,брайль,0.06,0.0,0.0,0.2,0.0,0.0,0.0,1.4,0.9495,49.08,5.0
172,британский,79.59,7.2,6.7,20.4,32.9,53.0,101.1,52.7,0.4952,88.37,122.0
173,брянский,11.82,9.6,12.7,8.5,8.0,9.5,9.4,9.4,0.4391,86.5,117.0
174,букварь,25.72,2.4,13.9,17.5,6.0,3.2,48.3,1.4,0.7294,56.15,95.0
175,буквенный,13.2,35.9,11.8,10.1,8.5,11.1,9.6,14.6,0.2962,92.41,123.0
176,буквосочетание,1.59,0.0,1.1,2.3,0.8,1.4,1.0,0.5,0.5113,85.57,72.0
177,бурятский,84.87,8.4,18.3,22.8,96.9,75.3,67.2,80.4,0.5648,83.17,122.0
178,вайнахских,2.82,0.0,0.0,2.6,1.4,2.8,2.1,0.0,0.7524,78.51,32.0
179,валентностный,0.91,0.0,0.2,0.4,0.3,0.8,0.9,0.0,0.5495,85.93,55.0
180,валентность,151.21,0.0,28.9,148.1,147.1,127.6,108.9,202.2,0.24100000000000002,94.4,123.0
181,валлийский,3.09,1.2,0.3,0.2,1.1,2.2,3.4,14.1,0.6817,70.61,51.0
182,варваризм,5.26,4.8,4.2,1.5,4.1,5.1,3.7,3.3,0.3774,88.04,109.0
183,вариантность,76.79,13.2,33.7,90.9,81.6,66.6,49.2,15.5,0.2509,93.82,123.0
184,вариативность,143.8,12.0,9.0,58.0,124.8,123.4,127.3,122.7,0.2155,95.14,123.0
185,вариация,19.33,13.2,11.1,15.4,19.3,15.9,14.5,13.2,0.1639,95.72,123.0
186,варьирование,112.54,14.4,28.1,106.1,121.0,98.1,77.1,85.6,0.1875,95.35,123.0
187,веляризация,0.46,0.0,1.3,0.4,0.2,0.2,0.5,0.0,0.7865,76.46,26.0
188,велярный,5.16,0.0,7.5,4.8,2.8,2.1,6.5,3.3,0.5752,71.64,74.0
189,венгерский,34.26,23.9,103.9,48.0,38.0,18.7,22.6,16.9,0.4308,88.22,123.0
190,вепсский,14.21,0.0,1.8,3.4,9.6,4.3,23.2,20.7,0.6521,70.06,84.0
191,вербализация,74.74,0.0,0.7,4.6,20.1,64.5,83.2,35.7,0.3337,92.67,121.0
192,вербальный,332.21,1.2,6.4,34.5,145.7,295.4,340.7,197.0,0.2774,93.31,122.0
193,верлибр,1.77,2.4,2.9,2.7,0.8,1.0,1.6,0.5,0.5623,80.46,64.0
194,взрывной,8.27,13.2,12.1,9.5,4.7,6.0,6.4,5.6,0.42,88.97,109.0
195,византийский,21.19,16.8,30.9,22.1,22.9,13.7,17.2,5.6,0.4218,90.1,119.0
196,винительный,41.94,88.6,119.4,55.6,30.8,26.6,27.1,20.7,0.3407,91.79,123.0
197,внелитературный,2.79,1.2,2.0,4.0,1.1,2.7,1.6,0.9,0.4603,87.74,90.0
198,внутригенетическая,0.16,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.9095,63.36,10.0
199,возвратность,5.21,0.0,2.5,3.8,6.5,5.0,3.0,1.4,0.4866,84.49,98.0
200,возвратный,44.41,18.0,34.3,52.2,25.7,35.6,34.2,34.3,0.3777,90.74,120.0
201,вокабула,4.14,3.6,2.3,2.3,3.5,2.0,4.6,15.5,0.4883,83.04,93.0
202,вокабуляр,4.85,0.0,0.3,2.7,2.8,4.4,3.9,9.9,0.4471,87.95,104.0
203,вокализация,3.38,1.2,3.3,0.4,2.6,1.8,4.4,0.9,0.5133,81.59,78.0
204,вокализм,39.67,7.2,55.5,35.9,35.9,27.3,33.6,11.3,0.3423,92.15,122.0
205,вокалический,13.13,0.0,11.4,8.1,11.4,7.1,15.4,3.3,0.4606,84.88,110.0
206,вокальный,19.15,26.3,37.6,18.4,9.0,13.1,15.3,28.2,0.4505,88.17,117.0
207,волгоградский,29.67,3.6,6.2,9.0,13.5,19.3,37.1,24.9,0.3355,91.55,121.0
208,вологодский,31.64,31.1,25.3,25.3,22.9,20.2,30.8,53.6,0.3855,90.58,121.0
209,вопросительный,118.84,40.7,66.2,127.8,124.5,96.3,83.9,72.4,0.2689,93.31,123.0
210,вопросник,6.43,20.3,26.0,9.2,4.8,3.9,3.3,1.4,0.4107,88.01,104.0
211,воронежский,90.4,33.5,12.1,33.7,64.3,79.7,81.3,45.1,0.2454,94.01,123.0
212,восклицательный,21.58,40.7,11.4,21.5,33.1,17.3,13.3,5.6,0.33299999999999996,90.37,123.0
213,востоковед,44.01,4.8,137.9,58.3,23.8,23.2,36.0,30.1,0.3078,91.74,123.0
214,восточнославянский,56.96,34.7,55.2,71.5,50.6,46.9,35.8,39.5,0.2948,93.01,123.0
215,время,1857.13,1896.9,2083.9,1629.2,1532.6,1398.2,1451.1,1663.5,0.1009,97.73,123.0
216,временной,95.06,28.7,33.0,63.1,77.7,74.0,86.4,68.2,0.1526,96.43,123.0
217,вспомогательный,67.32,20.3,67.1,68.3,51.6,45.2,59.0,91.7,0.2753,92.82,123.0
218,вульгаризация,1.11,7.2,0.5,0.5,0.6,0.9,0.9,1.4,0.4865,86.74,63.0
219,вульгаризм,2.68,19.1,4.7,3.3,2.5,2.1,1.3,0.0,0.4379,89.09,91.0
220,вульгарный,5.45,12.0,8.3,4.7,3.7,5.2,2.7,5.2,0.3697,81.57,113.0
221,вхождение,43.42,6.0,12.4,25.3,28.5,31.0,43.4,87.0,0.2494,93.3,123.0
222,выборка,119.84,13.2,10.1,62.7,69.0,95.6,116.4,182.4,0.1588,96.05,123.0
223,вымирание,1.19,1.2,1.0,0.3,1.6,0.9,1.0,2.8,0.4946,86.72,66.0
224,вьетнамский,20.34,6.0,1.8,14.3,17.9,16.8,17.7,8.5,0.5589999999999999,84.92,116.0
225,гавайский,0.89,0.0,0.3,2.7,0.2,0.9,0.3,0.0,0.8265,49.68,21.0
226,гагаузский,15.91,1.2,115.2,42.6,8.8,5.2,4.8,2.4,0.6889,77.92,77.0
227,галисийский,1.12,0.0,0.0,0.2,1.7,0.5,1.2,6.1,0.7421,71.18,31.0
228,галлицизм,8.95,4.8,1.8,1.6,5.3,8.3,8.2,0.5,0.5799,81.15,101.0
229,галльский,4.3,1.2,0.5,0.2,0.6,1.8,7.3,0.9,0.7797,69.5,53.0
230,гаплология,0.74,1.2,1.5,1.2,1.0,0.4,0.4,0.5,0.6695,83.01,40.0
231,гармоничность,1.93,3.6,2.1,0.8,1.0,2.2,1.0,0.0,0.5167,82.79,72.0
232,гемината,4.24,0.0,11.8,1.7,0.6,1.1,6.0,9.9,0.7132,70.47,50.0
233,гендерный,40.83,0.0,0.0,0.0,0.3,21.2,61.8,127.4,0.5263,84.02,102.0
234,генеалогический,4.29,0.0,4.2,4.7,2.8,2.7,4.1,3.8,0.3039,92.69,113.0
235,генезис,35.67,2.4,19.1,34.3,30.5,28.9,28.3,12.7,0.1465,96.56,123.0
236,генерализация,10.91,2.4,1.8,3.3,4.7,7.2,13.5,11.3,0.3893,77.92,116.0
237,генеративный,10.56,0.0,1.0,3.6,13.9,8.6,8.8,12.2,0.3728,90.34,120.0
238,генетический,54.31,3.6,44.9,52.2,58.7,43.8,38.3,28.2,0.2005,94.95,123.0
239,генитив,46.99,0.0,1.5,27.4,47.7,33.8,44.0,104.9,0.4913,86.37,119.0
240,генитивный,1.15,0.0,0.0,0.3,0.4,0.7,1.5,1.9,0.7415,69.84,33.0
241,германист,17.05,1.2,2.3,8.7,11.2,12.1,18.9,6.6,0.4205,89.76,116.0
242,германистика,12.11,0.0,1.0,5.1,7.1,8.5,14.0,4.7,0.4561,88.97,108.0
243,герундиальный,2.62,0.0,0.3,2.8,1.0,2.3,2.2,1.9,0.6005,81.57,61.0
244,герундий,11.41,0.0,8.3,14.6,6.0,8.2,10.2,3.3,0.5458,83.56,97.0
245,гетерогенность,6.26,0.0,1.5,1.9,10.4,4.1,6.1,4.2,0.3837,88.8,114.0
246,гетерогенный,12.0,0.0,2.9,7.1,10.5,11.1,9.0,5.6,0.3021,92.47,121.0
247,гидроним,54.17,27.5,48.7,59.7,96.3,30.7,39.7,118.0,0.4541,88.95,117.0
248,гидронимика,0.86,0.0,0.7,1.1,1.6,0.7,0.4,0.5,0.6055,82.1,48.0
249,гидронимия,1.69,0.0,0.8,0.5,2.4,1.1,1.3,11.3,0.5425,84.02,65.0
250,гипербола,12.73,4.8,6.7,6.3,10.9,11.8,9.2,11.3,0.3526,87.45,123.0
251,гиперболизация,3.26,2.4,1.3,2.7,2.8,2.6,2.7,0.9,0.3815,87.8,99.0
252,гипероним,15.21,0.0,0.2,6.2,12.5,13.7,13.1,8.0,0.3302,91.37,116.0
253,гиперонимия,0.28,0.0,0.0,0.1,0.6,0.2,0.2,0.0,0.7975,78.89,24.0
254,гипертекст,40.04,0.0,0.3,0.5,2.3,38.0,42.8,13.2,0.5498,84.51,112.0
255,гипертекстовый,7.75,0.0,0.0,0.5,0.3,8.0,7.3,4.7,0.5593,81.79,90.0
256,гипоним,23.06,0.0,0.5,21.8,20.3,18.9,19.5,7.1,0.3374,86.5,117.0
257,гипонимия,1.56,0.0,0.2,2.2,1.9,1.3,1.0,0.5,0.5311,87.48,67.0
258,гипонимический,0.24,0.0,0.0,0.1,0.3,0.2,0.2,0.0,0.8535,74.23,17.0
259,гипотаксис,7.03,0.0,2.5,8.1,11.4,3.9,6.6,0.9,0.5342,80.23,100.0
260,гистограмма,0.65,0.0,0.3,0.0,0.1,0.7,0.5,0.5,0.7175,76.18,34.0
261,глагол,2949.37,1748.5,2073.6,3001.8,2627.3,2283.6,2201.8,4049.7,0.1445,96.46,123.0
262,глаголица,1.97,3.6,3.9,1.6,3.1,1.8,0.6,0.5,0.6902,65.73,47.0
263,глагольный,683.38,210.6,433.6,768.7,688.8,556.7,470.7,441.0,0.1574,96.35,123.0
264,глайд,1.33,0.0,0.5,0.4,0.3,0.9,1.7,0.5,0.7011,77.21,40.0
265,гласный,590.04,850.9,1311.9,713.7,420.4,342.3,473.5,710.9,0.2975,93.17,123.0
266,глосса,41.21,26.3,53.9,36.2,31.7,27.2,36.6,43.3,0.2556,93.97,123.0
267,глоссарий,12.84,4.8,14.9,10.3,10.7,9.3,10.8,10.3,0.2806,92.08,121.0
268,глоттогонический,0.35,0.0,1.0,0.0,0.4,0.3,0.2,0.0,0.7815,79.61,26.0
269,глоттохронологический,0.03,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.9575,50.62,4.0
270,глоттохронология,0.98,0.0,0.5,0.3,0.9,0.6,1.1,1.9,0.6505,81.08,43.0
271,глубинный,68.14,7.2,19.6,60.0,60.4,63.8,44.3,59.2,0.1814,95.74,123.0
272,глухой,47.19,83.8,109.8,56.5,39.2,27.4,36.6,39.0,0.3273,92.06,123.0
273,глухость,4.79,1.2,9.8,8.1,4.7,3.5,2.4,3.8,0.4247,89.23,99.0
274,говор,2706.45,3754.3,2960.4,2441.3,2420.3,2093.4,1983.1,2343.4,0.1147,97.42,123.0
275,говорение,26.63,27.5,15.0,19.9,23.7,25.6,16.3,15.5,0.2285,94.47,123.0
276,говорок,2.53,2.4,2.5,0.8,1.6,0.8,3.9,0.5,0.6635,54.94,62.0
277,годонимы,0.35,0.0,0.0,0.0,0.0,0.0,0.5,6.1,0.8695,62.43,15.0
278,голландский,7.47,35.9,11.9,7.1,7.2,5.9,4.2,6.6,0.3482,91.25,119.0
279,голофрастический,0.95,0.0,0.0,3.9,0.1,0.8,0.3,0.5,0.8535,50.99,17.0
280,гомогенность,2.33,0.0,1.1,2.5,2.8,2.1,1.3,4.7,0.3865,90.04,93.0
281,гомогенный,8.14,0.0,2.1,10.2,7.3,6.8,5.9,2.8,0.3184,92.71,121.0
282,горловой,1.15,1.2,0.5,5.0,0.4,0.2,1.1,1.4,0.8212,52.16,22.0
283,гортанный,6.43,6.0,13.1,4.1,3.4,3.9,6.4,4.7,0.5109,85.13,90.0
284,грамматизация,0.26,0.0,0.0,0.4,0.6,0.2,0.1,0.5,0.8535,72.29,17.0
285,грамматика,1211.5,438.0,680.8,1009.3,1176.4,1085.5,820.8,408.1,0.1371,96.86,123.0
286,грамматист,7.29,9.6,11.4,10.7,6.9,4.4,5.4,10.3,0.3268,92.33,122.0
287,грамматический,1189.32,479.9,825.6,1225.2,1234.0,1020.3,773.3,444.8,0.1299,97.06,123.0
288,граммема,24.87,0.0,0.0,3.6,24.1,11.8,33.9,54.1,0.5788,84.06,106.0
289,грамотность,14.94,63.4,29.7,17.3,14.1,10.8,8.8,9.4,0.3497,86.71,121.0
290,грамотный,14.69,83.8,34.0,16.9,14.7,8.4,10.0,16.9,0.326,92.06,123.0
291,графема,13.58,2.4,18.8,8.8,5.9,8.7,14.5,7.5,0.4472,88.71,114.0
292,графика,16.56,16.8,33.5,13.6,17.9,10.1,13.6,10.8,0.2695,92.47,123.0
293,графический,902.38,635.5,649.8,638.9,739.3,733.0,720.2,792.3,0.0885,98.01,123.0
294,грецизм,4.9,7.2,3.9,1.8,3.0,4.1,4.3,1.9,0.5751,81.56,77.0
295,греческий,166.62,317.1,140.0,118.4,156.1,106.8,162.2,71.0,0.3054,92.46,123.0
296,гротеск,4.08,9.6,3.3,3.6,2.3,3.5,3.1,0.9,0.3432,91.31,108.0
297,гротескный,1.19,3.6,1.3,0.9,0.4,1.1,0.8,0.0,0.5075,86.92,64.0
298,грузин,39.33,40.7,65.0,127.7,45.2,16.9,22.4,10.8,0.4565,80.76,123.0
299,грузинский,32.5,28.7,53.6,111.6,34.8,14.0,17.8,8.9,0.4821,79.84,123.0
300,губной,19.07,7.2,63.9,39.3,12.0,9.8,11.6,22.6,0.4454,88.88,109.0
301,гэльский,0.91,0.0,0.0,0.0,0.6,0.4,1.3,0.9,0.7975,54.45,24.0
302,дагестанский,133.82,2.4,25.2,39.8,112.5,120.7,116.7,24.0,0.5635,84.52,122.0
303,дактиль,0.85,3.6,0.0,0.7,0.8,0.8,0.6,0.0,0.7335,77.52,32.0
304,даргинский,89.97,2.4,2.8,12.4,31.9,72.9,104.4,2.4,0.6949,80.81,97.0
305,дательный,94.24,141.2,185.1,114.5,73.9,62.9,68.8,54.5,0.2315,94.52,123.0
306,датив,30.89,0.0,2.8,5.4,19.3,12.8,46.4,62.5,0.5601,83.36,109.0
307,дативный,1.56,0.0,0.0,0.1,0.8,0.3,2.6,8.5,0.7681,70.42,31.0
308,датский,39.68,37.1,52.9,52.2,27.6,26.9,31.5,30.6,0.2185,94.23,123.0
309,двустишие,2.89,26.3,12.3,7.0,4.0,1.2,0.8,0.0,0.6283,82.17,58.0
310,двухвалентный,1.8,0.0,0.2,1.7,2.3,1.1,1.7,2.4,0.5583,84.27,61.0
311,двуязычие,78.5,4.8,25.5,83.6,61.8,75.2,48.5,37.6,0.3618,91.59,123.0
312,двуязычный,58.06,7.2,36.6,41.6,33.2,50.1,47.0,50.3,0.2683,93.71,123.0
313,девиация,4.97,0.0,0.0,0.5,0.3,5.0,5.0,0.5,0.6332,72.9,69.0
314,деепричастие,94.85,51.5,128.7,128.4,62.9,63.4,75.5,101.6,0.4208,89.99,121.0
315,деепричастный,35.85,27.5,48.0,53.5,34.9,23.7,24.2,61.6,0.3951,90.66,118.0
316,дейксис,52.32,0.0,1.0,6.1,39.8,50.8,44.9,14.1,0.2942,92.09,121.0
317,дейктик,3.1,0.0,0.0,0.2,3.1,2.6,3.1,0.0,0.6552,77.48,56.0
318,дейктический,43.32,0.0,3.6,13.9,37.0,40.2,35.6,28.2,0.3049,92.16,121.0
319,декаузатив,8.17,0.0,0.0,0.3,0.3,6.5,10.2,6.1,0.721,72.15,62.0
320,делабиализация,1.71,0.0,4.1,3.1,1.8,1.0,1.0,0.5,0.5965,82.33,57.0
321,делимитативный,4.65,0.0,0.8,4.2,2.8,2.2,5.8,12.7,0.5065,80.11,97.0
322,делимитация,3.22,0.0,0.5,6.0,2.7,2.6,2.1,0.5,0.4405,87.27,91.0
323,денотат,126.31,0.0,7.5,94.6,147.7,123.6,76.4,62.5,0.2173,95.21,123.0
324,денотативный,6.08,0.0,0.2,4.2,9.1,5.9,3.5,0.5,0.3183,92.53,113.0
325,дентальный,6.17,0.0,3.1,4.4,5.8,4.2,6.1,1.9,0.4313,88.51,108.0
326,дериват,88.28,0.0,13.2,57.5,67.4,76.0,70.7,164.1,0.2595,93.86,123.0
327,деривационный,94.95,0.0,9.5,61.6,95.7,90.8,65.8,34.3,0.2709,93.57,123.0
328,деривация,122.14,0.0,21.1,82.4,105.3,118.4,83.5,77.6,0.2409,94.37,123.0
329,десемантизация,1.68,0.0,0.3,0.7,1.7,1.4,1.4,0.5,0.4223,89.86,83.0
330,десигнат,2.61,0.0,0.8,1.9,4.7,1.9,2.0,0.0,0.4937,86.85,84.0
331,дескриптивный,22.44,0.0,2.0,12.5,19.0,18.2,20.2,25.9,0.2342,94.34,123.0
332,дескриптор,11.24,4.8,0.5,8.9,6.9,13.9,4.5,4.2,0.5943,75.05,99.0
333,детерминант,37.65,0.0,7.8,43.3,32.7,34.3,25.2,6.6,0.3956,88.82,123.0
334,детерминатив,12.91,1.2,5.1,18.9,12.2,10.1,9.3,2.8,0.4876,82.58,110.0
335,дефектный,4.16,1.2,2.6,1.3,2.4,3.6,3.7,4.7,0.4058,88.41,102.0
336,дефектология,1.09,0.0,0.2,0.2,0.4,1.1,0.9,0.9,0.5989,80.74,49.0
337,дефиниция,92.62,2.4,4.4,52.4,61.5,82.4,80.9,47.5,0.2033,95.21,123.0
338,дешифровка,4.91,1.2,10.0,3.1,3.4,3.5,4.0,3.3,0.3581,90.17,110.0
339,диагностический,7.26,0.0,0.8,0.9,9.7,6.3,6.0,5.6,0.3782,89.04,112.0
340,диакритический,3.04,6.0,6.2,3.8,2.8,2.1,2.0,1.4,0.4865,86.55,81.0
341,диалект,1231.52,761.2,1782.6,1298.1,950.2,896.9,928.2,1119.5,0.2132,95.28,123.0
342,диалектизм,31.15,77.8,58.7,31.8,24.3,27.5,15.3,19.3,0.366,90.15,122.0
343,диалектика,33.64,14.4,19.4,58.2,27.0,30.5,17.2,6.6,0.2429,94.11,123.0
344,диалектический,28.88,9.6,33.8,61.1,29.1,21.4,15.1,6.1,0.2449,93.62,123.0
345,диалектный,337.23,275.3,343.8,310.5,270.0,281.4,236.1,219.6,0.2425,94.22,123.0
346,диалектография,1.42,1.2,5.1,2.5,1.3,1.1,0.4,0.0,0.5419,86.78,63.0
347,диалектолог,173.31,128.1,358.1,232.0,129.3,130.9,105.4,70.5,0.2705,93.65,123.0
348,диалектологический,49.85,47.9,151.6,71.4,32.1,33.2,30.0,23.0,0.3278,91.61,120.0
349,диалектология,109.01,58.6,155.7,135.5,89.7,89.3,66.8,39.5,0.258,94.18,123.0
350,диахронический,94.17,2.4,19.8,52.5,76.2,74.8,87.0,92.6,0.1796,95.51,123.0
351,диглоссия,6.53,0.0,0.0,2.6,7.6,5.0,6.0,10.3,0.3454,91.25,107.0
352,диграф,2.04,0.0,0.3,0.3,0.7,1.0,3.1,0.9,0.625,79.5,55.0
353,дисграфия,0.07,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9575,34.21,4.0
354,дискурс,1635.74,0.0,0.5,12.7,374.8,1153.3,2146.5,1675.2,0.3682,91.26,122.0
355,дискурсивный,247.38,0.0,0.0,4.9,59.3,165.6,328.7,392.1,0.3286,92.38,120.0
356,дискурсология,0.47,0.0,0.0,0.0,0.0,0.2,0.8,1.4,0.8055,72.9,23.0
357,диссимилятивный,6.94,1.2,2.0,1.2,3.0,4.6,8.9,1.4,0.7025,74.07,68.0
358,диссимиляция,3.21,3.6,5.7,3.0,1.8,2.8,2.0,1.9,0.451,88.92,85.0
359,дистрибутивный,33.97,1.2,6.2,42.6,32.2,27.2,24.7,40.9,0.2144,94.59,123.0
360,дистрибуция,29.57,0.0,12.1,28.8,19.7,23.3,24.8,36.2,0.2233,94.71,123.0
361,дифтонг,21.42,9.6,45.4,21.3,12.8,13.0,18.7,26.3,0.4405,88.77,115.0
362,дифтонгизация,1.09,0.0,3.3,0.7,0.9,0.7,0.9,0.5,0.5982,84.11,49.0
363,дифтонгический,1.1,0.0,1.8,2.0,0.4,0.5,1.1,0.9,0.6394,77.5,44.0
364,дифтонгоид,1.26,0.0,3.3,1.0,0.2,0.7,1.3,2.4,0.6343,81.48,47.0
365,дифференциальный,68.07,20.3,33.5,80.6,69.3,60.3,40.9,43.7,0.1923,95.53,123.0
366,дифференциация,116.4,26.3,55.2,113.1,121.6,105.5,73.7,30.6,0.1725,96.03,123.0
367,дифференцированный,20.09,8.4,14.1,22.6,16.7,13.3,18.7,5.2,0.2973,84.33,123.0
368,долженствование,14.01,13.2,10.5,8.0,14.5,11.9,10.5,6.1,0.3279,88.33,121.0
369,дополнение,127.1,61.0,139.4,139.5,92.0,89.6,106.3,95.4,0.2729,93.4,123.0
370,дорсальный,0.69,0.0,1.0,0.6,0.3,0.5,0.6,0.0,0.7815,75.22,26.0
371,древнеанглийский,29.33,0.0,2.0,20.7,25.0,25.9,24.1,4.7,0.5395,87.12,117.0
372,древнеболгарский,3.73,8.4,3.4,2.7,3.6,2.2,3.8,1.9,0.5134,84.42,77.0
373,древнегерманский,12.85,0.0,1.1,2.4,10.3,12.0,11.2,4.7,0.4735,87.42,110.0
374,древнегреческий,22.97,34.7,17.0,20.8,20.7,14.9,21.8,9.9,0.2912,93.37,123.0
375,древнегрузинский,2.24,0.0,0.2,12.2,5.1,0.3,0.9,0.0,0.7749,56.03,38.0
376,древнееврейский,5.72,6.0,6.2,8.4,5.5,3.3,4.7,8.5,0.4519,88.11,101.0
377,древнеиндийский,6.06,16.8,6.0,4.4,7.9,4.5,4.4,1.9,0.47200000000000003,88.07,107.0
378,древнеисландский,5.41,0.0,2.1,3.4,9.3,3.7,4.6,0.0,0.5584,82.32,90.0
379,древнеперсидский,1.31,1.2,1.3,0.6,1.0,0.6,1.4,7.1,0.5497,83.08,59.0
380,древнепрусский,0.73,2.4,1.5,0.9,1.7,0.4,0.3,0.0,0.6585,80.44,42.0
381,древнеримский,1.54,2.4,1.3,2.3,1.0,1.0,1.4,0.5,0.4601,88.21,75.0
382,древнерусский,237.61,456.0,266.8,215.1,272.7,178.8,165.7,155.2,0.3094,93.14,123.0
383,древнетюркский,51.66,2.4,303.4,131.1,22.1,16.6,27.0,25.4,0.5906,84.36,100.0
384,древнеуйгурский,9.29,1.2,51.6,24.5,2.2,2.6,5.9,4.2,0.6151,82.18,71.0
385,еврейский,21.49,21.5,11.6,25.1,20.4,14.0,19.2,17.4,0.41600000000000004,88.24,122.0
386,европейский,257.67,252.5,184.0,199.0,239.3,205.7,201.3,176.8,0.1225,97.1,123.0
387,еканье,3.99,2.4,4.2,10.7,2.6,2.0,3.1,2.8,0.6432,74.34,59.0
388,енисейский,32.44,4.8,137.6,52.8,12.0,15.1,23.6,28.7,0.4891,87.57,120.0
389,жанр,833.34,250.1,197.0,318.0,444.8,741.8,765.7,350.3,0.2436,94.75,123.0
390,жанровый,139.4,25.1,30.9,55.5,93.0,127.0,120.2,59.7,0.2325,94.86,123.0
391,жаргон,150.85,122.1,44.6,31.3,133.3,164.4,91.3,68.6,0.3466,91.9,123.0
392,жаргонизм,18.8,22.7,6.9,8.6,24.0,16.1,14.0,6.6,0.3727,89.75,123.0
393,жаргонный,25.48,39.5,13.2,5.8,23.5,27.6,14.0,16.5,0.3798,90.82,123.0
394,жестикуляция,4.36,6.0,0.5,0.9,1.3,2.0,6.3,12.7,0.5397,79.28,89.0
395,жестовый,21.99,0.0,0.2,2.5,2.7,18.6,23.2,63.5,0.6104,81.78,101.0
396,зависимый,153.37,73.0,77.8,104.0,119.9,114.6,137.5,238.9,0.2599,93.64,123.0
397,заднеязычный,10.63,10.8,20.9,8.0,8.1,7.4,8.5,7.5,0.4036,88.27,106.0
398,заикание,0.88,4.8,2.3,0.3,0.3,0.4,0.7,5.6,0.6745,77.46,40.0
399,заимствование,412.44,178.3,385.1,339.8,339.1,343.8,303.5,246.4,0.1532,96.22,123.0
400,заимствованный,77.43,61.0,69.8,53.9,58.7,70.1,53.2,44.2,0.1841,95.61,123.0
401,залог,114.04,19.1,169.4,219.7,76.2,83.8,69.6,29.6,0.3262,91.84,123.0
402,залоговый,21.47,0.0,33.2,43.3,16.6,15.7,12.3,2.8,0.4024,89.75,120.0
403,западноевропейский,24.51,27.5,34.5,25.8,16.6,20.1,16.2,21.2,0.1779,95.6,123.0
404,западнославянский,5.46,12.0,7.4,4.4,8.7,3.8,3.5,4.7,0.4448,87.54,94.0
405,запятая,18.27,99.3,30.4,19.2,16.3,13.1,12.1,7.1,0.3943,90.43,113.0
406,заударный,9.39,6.0,6.4,7.1,4.7,6.6,9.1,16.0,0.449,87.33,106.0
407,звонкий,28.54,46.7,76.8,44.0,26.0,15.8,19.5,18.3,0.3908,90.3,118.0
408,звонкость,5.96,0.0,12.4,10.1,6.6,4.2,3.1,4.2,0.4191,90.02,102.0
409,звук,453.71,1055.6,776.4,460.4,433.3,323.3,313.5,297.2,0.1705,95.73,123.0
410,звукобуквенный,1.04,0.0,0.0,0.0,0.0,1.5,0.5,0.5,0.7015,56.38,36.0
411,звуковой,140.38,155.6,174.7,138.5,148.8,116.7,85.9,46.1,0.1765,95.98,123.0
412,звукопись,3.71,15.6,9.3,4.9,1.6,3.2,1.7,0.5,0.452,87.25,91.0
413,звукоподражание,14.26,14.4,16.0,7.5,10.0,10.7,13.1,3.3,0.4635,87.03,118.0
414,звукоподражательный,21.1,59.8,36.4,18.9,20.8,12.0,18.8,9.4,0.4508,87.4,121.0
415,звукосимволизм,3.06,0.0,0.0,0.9,2.0,2.5,3.2,0.5,0.5527,81.01,74.0
416,звукосимволический,2.42,0.0,0.0,0.1,2.1,2.5,2.0,0.0,0.608,77.3,60.0
417,звучание,58.84,164.0,93.6,57.0,58.5,46.2,36.5,18.3,0.1953,95.27,123.0
418,звучащий,17.66,14.4,4.1,7.2,13.3,16.6,13.9,8.9,0.3237,91.82,122.0
419,зевгма,2.86,0.0,0.0,0.2,0.9,2.3,3.5,0.0,0.6758,57.41,56.0
420,иврит,15.83,1.2,0.2,6.5,2.8,12.2,18.8,1.9,0.7565,67.54,83.0
421,идеограмма,1.95,0.0,1.8,0.1,1.2,1.9,1.6,0.5,0.6128,79.06,59.0
422,идеофон,3.48,0.0,0.0,0.9,2.1,1.0,5.7,10.3,0.7192,56.28,55.0
423,идиолект,37.79,3.6,1.8,3.5,12.3,34.0,38.8,30.6,0.3767,91.55,120.0
424,идиом,200.67,23.9,73.7,71.7,209.4,164.8,168.6,286.8,0.2462,94.03,123.0
425,идиома,127.81,13.2,57.5,55.5,137.2,104.7,104.1,166.4,0.2376,94.19,123.0
426,идиоматизация,0.32,0.0,0.0,0.1,0.3,0.3,0.2,1.4,0.7975,79.15,24.0
427,идиоматический,22.24,4.8,20.7,15.4,16.1,19.5,16.1,19.3,0.2869,91.76,123.0
428,идиоматичный,5.89,0.0,2.3,5.5,5.3,6.4,2.6,4.7,0.4753,85.45,109.0
429,идиостиль,9.84,0.0,0.0,0.1,4.0,10.4,8.3,6.1,0.4547,89.6,101.0
430,идиш,6.5,1.2,1.0,1.8,1.7,3.1,10.0,2.8,0.6372,75.73,85.0
