,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP,D,R
1378,эрзянский,20.62,1.2,2.1,4.3,13.4,22.8,14.0,7.5,0.7127,74.98,87.0
1379,эрратический,0.11,0.0,0.0,0.0,0.0,0.0,0.2,0.9,0.9015,69.47,11.0
1380,эстонский,15.87,7.2,13.2,10.6,12.5,9.1,17.8,10.8,0.408,84.6,120.0
1381,этимолог,457.32,357.8,418.7,393.7,342.7,367.5,354.8,307.5,0.129,97.02,123.0
1382,этимологизация,11.09,6.0,14.4,16.7,13.6,8.1,6.4,7.5,0.3035,93.05,119.0
1383,этимологизирования,0.71,0.0,1.5,0.5,0.3,0.7,0.4,0.0,0.6375,83.64,44.0
1384,этимологический,273.49,167.6,177.8,198.1,194.6,235.6,213.2,157.0,0.1364,96.93,123.0
1385,этимология,144.32,140.0,182.2,147.9,111.5,104.9,113.1,111.0,0.1733,95.86,123.0
1386,этимон,11.03,0.0,4.2,5.0,7.8,7.8,11.7,8.9,0.3841,87.61,117.0
1387,этнолингвистика,36.85,0.0,0.0,2.1,19.3,33.7,36.3,21.2,0.2655,93.77,115.0
1388,этнолингвистический,45.08,0.0,9.5,11.2,23.5,38.8,44.2,36.2,0.2668,93.94,123.0
1389,этнонимика,2.27,1.2,3.4,1.3,2.1,1.6,1.9,0.9,0.5199,78.08,74.0
1390,этнопсихолингвистика,0.91,0.0,0.0,0.1,0.2,0.8,0.9,2.4,0.5655,83.47,53.0
1391,этноэйдемы,0.46,0.0,0.0,0.0,0.2,0.6,0.3,0.0,0.6935,84.41,37.0
1392,эфиопский,0.97,1.2,0.5,0.4,1.9,0.7,0.7,0.0,0.7015,65.21,36.0
1393,южноафриканский,0.98,0.0,0.0,0.0,0.6,1.2,0.5,0.9,0.7735,53.87,27.0
1394,южнославянский,24.93,26.3,21.7,13.0,15.6,17.3,25.5,13.6,0.4513,87.83,117.0
1395,ядерный,92.01,12.0,22.4,50.0,60.8,85.6,71.7,98.7,0.2075,95.13,123.0
1396,ядро,144.09,18.0,32.3,76.8,104.4,135.5,112.5,68.2,0.1952,95.22,123.0
1397,язык,25036.92,10215.8,14013.7,18466.0,19528.8,22227.0,18581.3,14141.1,0.1255,97.34,123.0
1398,языковед,104.59,193.9,174.7,151.0,85.7,74.5,68.5,36.7,0.165,96.02,123.0
1399,языковедение,32.77,9.6,11.3,26.6,23.5,30.8,23.5,7.1,0.2235,95.21,123.0
1400,языковедческий,15.21,21.5,25.7,21.1,13.8,10.6,10.2,7.1,0.2023,95.21,123.0
1401,языковой,3533.5,730.0,616.3,1275.9,2325.2,3288.1,2983.6,2173.2,0.1888,96.04,123.0
1402,языкознание,1659.97,193.9,538.0,1300.2,1294.1,1548.6,1183.9,739.1,0.1919,96.14,123.0
1403,языкотворческий,1.16,0.0,0.0,0.2,1.2,1.3,0.7,0.0,0.5112,87.01,63.0
1404,яканье,8.61,6.0,2.3,2.3,4.5,6.7,9.3,3.8,0.6789,75.59,68.0
1405,ямб,9.57,23.9,5.6,7.5,10.2,9.6,4.7,4.2,0.434,85.34,114.0
1406,ямбический,1.14,2.4,1.1,0.7,1.3,1.2,0.5,0.5,0.6165,79.09,47.0
1407,японский,58.98,20.3,42.2,49.0,48.4,48.7,44.2,68.2,0.3848,89.52,123.0
