термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP,D,R
местоимение,358.39,234.6,239.4,300.2,273.8,266.9,313.9,314.6,0.2119,95.03,123.0
суффикс,357.93,664.2,388.5,382.8,365.1,253.5,264.1,363.0,0.2135,94.91,123.0
тайский,353.96,43.1,399.0,217.2,182.8,210.1,385.2,630.0,0.2946,93.27,123.0
эмоциональный,351.06,154.4,104.6,181.8,288.3,331.6,259.9,186.7,0.1878,95.62,123.0
фольклор,345.31,77.8,322.8,327.4,316.0,260.8,273.7,189.0,0.1969,95.25,123.0
диалектный,337.23,275.3,343.8,310.5,270.0,281.4,236.1,219.6,0.2425,94.22,123.0
оценочный,332.68,38.3,37.3,184.2,283.2,310.1,257.8,132.6,0.2275,94.84,123.0
вербальный,332.21,1.2,6.4,34.5,145.7,295.4,340.7,197.0,0.2774,93.31,122.0
прилагательное,326.85,330.3,321.9,376.3,329.0,254.8,221.7,179.1,0.1653,96.16,123.0
словарный,319.07,213.0,235.4,288.3,274.9,273.8,221.5,221.9,0.1048,97.66,123.0
прилагательный,303.25,283.6,251.3,353.6,304.5,251.1,194.5,115.2,0.1633,96.01,123.0
модальность,299.35,6.0,61.4,188.7,294.7,281.2,211.2,145.3,0.2452,94.42,123.0
модальный,297.74,35.9,155.9,273.8,331.4,257.5,197.5,178.7,0.2147,94.9,123.0
корпус,295.25,18.0,20.4,46.2,77.5,186.5,380.8,773.4,0.3357,91.68,123.0
лексикография,291.96,44.3,86.4,187.0,247.4,269.1,214.9,196.1,0.1865,95.66,123.0
обозначение,291.66,284.8,228.9,238.0,246.4,242.4,213.0,275.1,0.0965,97.81,123.0
морфология,288.91,39.5,155.9,239.8,239.2,261.3,202.4,136.8,0.198,94.41,123.0
терминологический,288.18,76.6,100.2,235.5,235.2,247.1,227.5,120.4,0.2116,95.29,123.0
метафорический,287.67,41.9,64.9,85.8,165.9,261.5,252.5,318.8,0.2535,94.3,123.0
устный,283.32,299.2,214.2,232.9,292.4,225.2,209.0,245.0,0.1066,97.43,123.0
именной,280.1,85.0,192.3,304.2,271.5,207.4,220.7,221.5,0.1993,95.4,123.0
аффикс,279.03,31.1,1133.7,582.6,181.1,147.2,146.0,146.7,0.3628,89.86,123.0
этимологический,273.49,167.6,177.8,198.1,194.6,235.6,213.2,157.0,0.1364,96.93,123.0
слог,271.84,332.7,381.7,286.9,183.9,169.5,247.4,203.6,0.2473,93.86,123.0
типологический,271.67,6.0,75.5,200.9,224.0,240.1,208.0,226.6,0.2499,94.14,123.0
предикатив,264.43,40.7,129.2,304.5,337.1,215.3,172.6,108.1,0.1899,95.62,123.0
пословица,262.94,185.5,227.1,126.7,178.5,209.7,230.6,253.0,0.2494,93.95,123.0
европейский,257.67,252.5,184.0,199.0,239.3,205.7,201.3,176.8,0.1225,97.1,123.0
адресат,256.8,28.7,17.3,56.6,194.1,247.0,212.1,163.2,0.2019,95.27,123.0
фонетика,256.66,92.2,255.7,271.7,214.7,222.6,164.5,104.4,0.2055,94.9,123.0
оборот,256.51,493.1,355.5,289.4,232.0,189.4,173.5,258.6,0.1615,96.48,123.0
лексикографический,255.78,25.1,74.8,137.1,191.5,224.5,212.6,214.9,0.1473,96.55,123.0
перфект,255.43,9.6,53.8,89.9,107.9,116.4,374.3,380.4,0.4943,81.79,123.0
психолингвистика,250.66,9.6,2.0,30.2,111.5,192.1,295.1,148.6,0.361,90.07,123.0
экспрессивный,249.99,130.4,103.3,183.1,267.2,246.3,145.2,71.9,0.2122,95.02,123.0
дискурсивный,247.38,0.0,0.0,4.9,59.3,165.6,328.7,392.1,0.3286,92.38,120.0
американский,244.25,57.4,25.3,97.6,117.5,213.4,232.9,168.3,0.3803,91.75,123.0
концепция,241.75,19.1,55.4,107.4,205.4,214.8,201.0,151.4,0.1499,96.49,123.0
частица,239.51,104.1,151.6,202.6,236.8,188.3,186.7,198.9,0.2472,94.15,123.0
согласный,239.5,408.1,470.4,289.9,186.1,152.0,179.2,271.8,0.2916,93.4,123.0
предлог,238.78,276.5,136.3,220.4,146.3,187.7,203.5,155.6,0.2422,94.18,123.0
древнерусский,237.61,456.0,266.8,215.1,272.7,178.8,165.7,155.2,0.3094,93.14,123.0
прагматика,237.09,0.0,0.5,49.5,248.3,249.5,157.3,112.4,0.2995,93.27,123.0
аргумент,228.73,55.1,36.4,53.0,170.2,199.1,209.7,213.0,0.258,94.07,123.0
арго,227.76,256.1,77.3,56.2,188.3,244.8,137.6,184.3,0.3105,92.71,123.0
текстовый,223.86,1.2,7.8,65.1,181.2,230.7,163.2,79.5,0.2458,94.67,123.0
акцент,223.79,86.2,65.8,118.4,184.7,190.7,189.7,162.2,0.2355,94.22,123.0
номинативный,219.87,26.3,48.2,146.8,211.0,212.8,144.8,131.7,0.2069,95.42,123.0
социолингвист,212.02,4.8,9.1,75.5,142.4,193.3,171.4,518.6,0.2375,94.2,123.0
ударение,211.85,629.5,374.3,316.1,169.9,125.6,161.4,117.1,0.3128,92.48,123.0
психолингвистический,210.6,0.0,2.3,42.5,143.0,213.3,168.0,103.9,0.3073,92.56,122.0
численный,203.21,207.0,242.8,197.8,163.8,150.8,155.2,213.9,0.1172,97.45,123.0
корень,202.14,568.5,325.8,196.7,199.7,128.7,155.9,235.6,0.2395,94.59,123.0
омоним,200.68,82.6,196.1,208.6,143.8,183.5,123.0,87.5,0.2463,93.61,123.0
идиом,200.67,23.9,73.7,71.7,209.4,164.8,168.6,286.8,0.2462,94.03,123.0
существительный,200.55,306.4,164.0,216.5,184.2,163.3,136.6,110.0,0.1437,96.61,123.0
толкование,199.07,165.2,164.5,151.3,192.2,159.5,150.8,152.3,0.1655,96.03,123.0
башкирский,197.15,15.6,326.8,257.5,103.0,126.6,166.3,205.9,0.4283,89.99,123.0
семиотика,195.79,0.0,3.8,34.4,133.6,185.0,174.6,76.6,0.2761,93.92,123.0
фрейм,195.32,0.0,0.0,6.8,107.7,205.7,150.1,303.7,0.356,91.51,117.0
синтагма,190.37,8.4,50.5,233.4,206.9,180.2,103.4,64.4,0.2106,94.63,123.0
китайский,187,19.1,58.8,54.4,108.8,119.5,212.7,537.4,0.3192,91.58,123.0
стихотворение,185.49,466.7,284.6,181.2,218.6,145.7,108.4,73.8,0.2638,94.23,123.0
сочетаемость,184.54,47.9,60.6,222.9,192.3,164.6,110.9,124.1,0.2005,95.38,123.0
письменность,183.46,179.5,336.6,220.9,174.1,125.6,128.7,89.3,0.2558,94.26,123.0
письменность,183.46,179.5,336.6,220.9,174.1,125.6,128.7,89.3,0.2558,94.26,123.0
отрицание,183.26,47.9,66.8,173.4,179.4,117.7,178.3,176.8,0.2905,92.71,123.0
фраза,183.26,533.8,229.4,181.4,157.7,141.2,125.1,152.3,0.2173,94.92,123.0
ономастика,183.24,12.0,51.1,75.9,138.8,160.2,156.1,196.5,0.276,93.57,123.0
антоним,181.16,56.2,77.3,266.4,121.1,166.8,109.2,28.7,0.2999,92.36,123.0
темп,179.83,52.7,50.8,127.8,140.6,160.6,139.1,110.5,0.2017,95.43,123.0
словесный,177.64,165.2,118.0,171.3,163.4,155.3,118.2,65.8,0.1466,96.65,123.0
англоязычный,174.68,1.2,0.3,14.6,64.7,118.8,226.3,176.8,0.4677,88.71,121.0
диалектолог,173.31,128.1,358.1,232.0,129.3,130.9,105.4,70.5,0.2705,93.65,123.0
аналитический,172,76.6,93.3,137.7,139.0,142.6,136.9,105.8,0.1802,95.82,123.0
синонимический,171.96,68.2,79.7,183.8,177.4,169.6,87.7,56.0,0.2369,94.96,123.0
сказуемое,167.08,119.7,278.1,292.6,203.2,107.1,102.1,48.0,0.2839,93.09,123.0
греческий,166.62,317.1,140.0,118.4,156.1,106.8,162.2,71.0,0.3054,92.46,123.0
формант,165.18,10.8,93.0,138.5,133.8,119.3,146.9,252.0,0.182,95.27,123.0
монгольский,161.65,52.7,304.5,179.4,107.3,121.2,114.8,74.8,0.4706,88.84,122.0
арабский,160.69,74.2,281.3,267.5,70.7,123.9,101.7,55.5,0.4175,89.79,123.0
инфинитив,160.35,91.0,51.0,149.5,149.1,110.0,141.3,348.9,0.2782,93.12,123.0
синонимия,159.01,32.3,34.8,180.5,192.2,152.0,84.6,30.6,0.2718,93.99,123.0
членение,157.77,50.3,87.6,220.8,186.6,143.9,77.2,50.3,0.2209,94.78,123.0
союзный,156.12,86.2,235.9,243.9,164.6,135.5,65.8,46.5,0.2591,94.26,123.0
риторика,155.34,85.0,13.4,33.2,134.3,159.1,112.0,72.9,0.3028,92.97,123.0
предикативный,154.68,35.9,84.5,204.1,200.8,127.2,92.5,45.6,0.1988,95.34,123.0
турецкий,154.39,31.1,784.2,319.0,65.2,75.1,77.3,108.6,0.4989,86.67,123.0
оговорка,154.12,137.6,163.9,97.5,121.2,113.0,135.9,120.8,0.2148,94.2,123.0
зависимый,153.37,73.0,77.8,104.0,119.9,114.6,137.5,238.9,0.2599,93.64,123.0
валентность,151.21,0.0,28.9,148.1,147.1,127.6,108.9,202.2,0.241,94.4,123.0
жаргон,150.85,122.1,44.6,31.3,133.3,164.4,91.3,68.6,0.3466,91.9,123.0
переводчик,150.84,51.5,77.0,82.8,84.3,132.8,121.7,238.4,0.2975,92.25,123.0
фонема,150.84,87.4,251.6,139.5,110.0,116.1,108.9,102.5,0.2937,92.87,123.0
обстоятельство,150.14,114.9,160.4,177.4,172.0,106.5,107.7,103.4,0.1759,95.77,123.0
трансформация,149.27,15.6,43.9,95.6,111.5,133.4,118.2,115.7,0.1594,96.24,123.0
строка,148.3,330.3,290.8,138.4,98.8,60.1,169.1,81.8,0.4617,80.2,123.0
испанский,145.9,37.1,12.7,126.0,74.3,98.5,159.1,139.6,0.4244,89.38,123.0
этимология,144.32,140.0,182.2,147.9,111.5,104.9,113.1,111.0,0.1733,95.86,123.0
