термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP,D,R
кумыкский,81.38,7.2,71.1,71.4,49.2,79.5,51.1,4.2,0.6629,81.22,99.0
информант,81.26,1.2,8.3,30.9,43.3,55.0,93.5,150.0,0.2673,91.91,123.0
многозначность,80.98,19.1,26.3,71.0,70.7,75.9,53.0,54.1,0.1742,95.8,123.0
финский,80.78,61.0,45.3,28.9,80.2,45.2,92.6,122.7,0.4338,86.75,123.0
болгарский,80.76,107.7,112.7,77.1,69.5,62.3,57.7,34.3,0.3012,92.79,123.0
русскоязычный,80.6,0.0,0.0,5.2,31.4,59.9,97.3,99.2,0.3023,93.03,119.0
согласование,80.45,28.7,43.3,53.8,51.1,48.0,92.6,69.1,0.3399,86.24,123.0
коннотативный,79.92,0.0,1.1,31.7,70.1,88.2,47.6,39.0,0.2688,93.85,121.0
реципиент,79.86,0.0,0.2,8.6,44.3,79.4,68.9,56.0,0.3434,91.98,120.0
спирант,79.83,26.3,53.6,49.4,46.8,57.4,80.1,66.3,0.1475,95.78,123.0
британский,79.59,7.2,6.7,20.4,32.9,53.0,101.1,52.7,0.4952,88.37,122.0
склонение,78.52,156.8,103.4,77.3,77.9,55.6,58.3,59.7,0.3163,92.8,123.0
двуязычие,78.5,4.8,25.5,83.6,61.8,75.2,48.5,37.6,0.3618,91.59,123.0
референция,78.47,0.0,0.2,37.5,82.4,68.4,64.2,65.8,0.2159,94.85,121.0
паремия,77.91,0.0,1.5,6.2,33.5,50.2,90.7,380.4,0.4097,88.67,117.0
заимствованный,77.43,61.0,69.8,53.9,58.7,70.1,53.2,44.2,0.1841,95.61,123.0
интенция,77.39,0.0,0.2,19.8,55.4,78.1,60.6,39.0,0.2958,93.43,121.0
комический,77.33,52.7,16.5,44.8,66.9,70.5,60.7,6.1,0.3671,90.55,123.0
фразовый,77.04,4.8,15.2,100.7,91.5,65.1,48.5,45.1,0.2931,93.11,123.0
вариантность,76.79,13.2,33.7,90.9,81.6,66.6,49.2,15.5,0.2509,93.82,123.0
лирика,76.5,38.3,49.0,32.7,64.8,77.5,49.1,10.8,0.3109,91.9,123.0
активность,76.32,26.3,27.9,54.7,63.0,63.9,62.7,50.3,0.1517,96.36,123.0
русистика,75.99,8.4,8.5,21.4,59.5,77.9,55.3,36.2,0.2832,93.28,123.0
фонология,75.24,8.4,28.3,96.1,73.1,62.6,49.5,84.2,0.233,94.54,123.0
вербализация,74.74,0.0,0.7,4.6,20.1,64.5,83.2,35.7,0.3337,92.67,121.0
аппарат,74.58,29.9,41.3,46.6,72.9,61.1,59.7,57.4,0.125,96.94,123.0
эпитет,74.54,122.1,131.2,79.6,66.9,53.7,51.7,38.6,0.3019,92.28,123.0
имперфект,74.03,6.0,10.0,13.8,28.2,26.1,120.9,139.6,0.5847,82.8,119.0
алфавит,73.88,223.8,193.4,74.9,60.0,45.1,54.3,44.2,0.2906,92.93,123.0
лирический,73.79,86.2,87.4,54.6,60.7,73.3,38.8,14.6,0.2938,93.17,123.0
удмуртский,73.21,3.6,34.8,11.0,60.2,37.9,96.1,97.8,0.5937,84.35,123.0
периферийный,73.06,12.0,17.0,35.2,66.2,69.1,51.2,103.4,0.1871,95.52,123.0
послелог,72.46,0.0,105.2,94.0,49.0,48.3,60.9,16.5,0.5007,88.25,115.0
антрополог,72.43,6.0,11.4,11.7,41.4,66.7,66.4,54.5,0.2218,95.08,123.0
эпос,71.92,10.8,146.7,182.7,57.4,41.6,41.0,36.7,0.4217,88.67,123.0
антология,70.61,2.4,7.8,4.7,24.1,65.8,71.0,15.0,0.3405,92.45,123.0
пассивный,70.05,23.9,43.5,91.8,43.8,51.2,59.4,39.0,0.2571,92.26,123.0
интерференция,69.55,0.0,8.3,39.1,53.0,69.5,50.0,10.8,0.362,90.88,123.0
местоименный,68.15,18.0,33.7,74.3,81.4,51.6,51.5,26.8,0.256,93.43,123.0
глубинный,68.14,7.2,19.6,60.0,60.4,63.8,44.3,59.2,0.1814,95.74,123.0
итальянский,68.1,77.8,33.5,46.3,51.1,43.6,63.5,266.1,0.3269,91.01,123.0
дифференциальный,68.07,20.3,33.5,80.6,69.3,60.3,40.9,43.7,0.1923,95.53,123.0
ирония,68,56.2,29.2,49.9,27.3,57.7,60.9,25.4,0.3644,90.1,123.0
повествовательный,67.76,20.3,30.2,58.8,75.8,61.9,43.1,10.8,0.2231,94.8,123.0
вспомогательный,67.32,20.3,67.1,68.3,51.6,45.2,59.0,91.7,0.2753,92.82,123.0
пропозиция,66.74,0.0,0.7,26.8,80.6,62.8,48.3,33.9,0.262,93.89,120.0
пунктуация,65.83,114.9,42.5,44.1,70.2,64.9,36.0,15.5,0.3415,91.6,123.0
просторечие,65.8,129.3,52.8,36.9,76.0,68.8,29.6,21.6,0.303,92.11,123.0
посессив,65.44,0.0,35.5,41.4,35.0,44.4,68.6,110.0,0.4655,87.65,123.0
суффиксальный,64.8,28.7,23.7,81.6,64.8,57.6,39.3,29.2,0.2589,93.7,123.0
акцентный,60.7,25.1,10.6,37.3,59.6,49.2,52.7,32.4,0.3905,89.35,123.0
античный,60.44,39.5,15.4,31.0,56.5,55.8,45.0,32.9,0.2145,94.21,123.0
аспектуальный,60.29,0.0,7.4,25.9,36.4,41.6,69.5,44.7,0.3382,85.83,121.0
адаптация,59.8,1.2,8.2,15.6,24.6,53.3,56.1,97.3,0.2312,94.84,123.0
японский,58.98,20.3,42.2,49.0,48.4,48.7,44.2,68.2,0.3848,89.52,123.0
константа,58.85,0.0,3.1,5.3,15.4,53.9,61.2,23.5,0.2983,92.93,123.0
звучание,58.84,164.0,93.6,57.0,58.5,46.2,36.5,18.3,0.1953,95.27,123.0
корневой,58.8,25.1,71.9,68.0,56.8,47.4,36.4,52.2,0.2282,94.5,123.0
автоматический,58.68,6.0,27.0,38.4,42.5,55.1,42.6,32.0,0.3413,90.9,123.0
адресант,58.51,2.4,1.8,5.5,33.4,54.7,54.6,41.4,0.2872,93.36,121.0
стихотворный,58.25,99.3,85.1,69.5,56.1,49.4,31.4,10.3,0.2245,94.32,123.0
двуязычный,58.06,7.2,36.6,41.6,33.2,50.1,47.0,50.3,0.2683,93.71,123.0
белорусский,58.04,69.4,94.8,114.2,50.8,33.1,41.5,34.8,0.3541,90.25,123.0
результатив,57.91,2.4,14.7,31.5,44.7,43.8,57.0,47.0,0.3525,87.04,123.0
прозаический,57.46,26.3,35.5,53.7,48.5,54.3,35.6,13.2,0.2083,94.99,123.0
адъективный,57.28,0.0,8.8,55.3,52.6,46.5,46.8,26.8,0.2799,93.14,123.0
восточнославянский,56.96,34.7,55.2,71.5,50.6,46.9,35.8,39.5,0.2948,93.01,123.0
родительный,56.93,290.8,114.9,94.7,52.5,31.2,39.2,33.4,0.3252,91.52,122.0
экспликация,56.21,0.0,2.0,16.7,46.5,54.4,44.9,23.5,0.2535,94.48,123.0
тувинский,56.04,14.4,138.4,68.7,29.2,36.2,43.8,24.0,0.5574,86.99,100.0
калмыцкий,55.86,9.6,23.5,13.2,19.7,60.6,40.5,21.2,0.6069,80.77,117.0
мордовский,55.38,16.8,24.0,47.5,58.6,47.1,40.2,20.2,0.5653,84.14,123.0
чешский,54.68,105.3,50.5,44.2,57.3,40.3,43.0,32.9,0.325,92.07,123.0
генетический,54.31,3.6,44.9,52.2,58.7,43.8,38.3,28.2,0.2005,94.95,123.0
гидроним,54.17,27.5,48.7,59.7,96.3,30.7,39.7,118.0,0.4541,88.95,117.0
эмоциональность,53.97,19.1,21.2,45.2,48.0,50.7,35.5,22.1,0.2285,94.87,123.0
предикация,53.23,0.0,10.0,41.5,47.0,45.3,42.7,37.1,0.3002,92.62,123.0
просторечный,53.08,146.0,83.8,50.9,54.6,47.8,24.8,20.2,0.2736,93.26,123.0
артикль,53.07,40.7,9.8,29.7,60.1,48.0,38.5,21.2,0.4102,89.5,122.0
старославянский,52.84,142.4,60.9,31.8,80.4,38.6,36.5,31.5,0.3356,89.28,123.0
киргизский,52.67,8.4,307.0,169.8,29.0,20.1,15.2,10.3,0.5537,84.24,122.0
дейксис,52.32,0.0,1.0,6.1,39.8,50.8,44.9,14.1,0.2942,92.09,121.0
контекстный,52.28,3.6,6.5,45.8,46.7,47.8,37.1,31.0,0.1637,96.07,123.0
сонант,52.17,1.2,63.1,65.3,44.9,36.6,40.4,33.4,0.3328,92.26,123.0
топонимика,52.12,34.7,45.1,40.3,73.2,40.5,34.6,65.8,0.3157,92.06,123.0
сочинительный,52.06,12.0,33.5,28.1,40.3,47.6,39.2,20.7,0.307,92.7,123.0
афоризм,51.92,76.6,21.6,10.5,33.1,50.0,41.8,15.5,0.3679,89.94,123.0
древнетюркский,51.66,2.4,303.4,131.1,22.1,16.6,27.0,25.4,0.5906,84.36,100.0
синхрония,50.99,3.6,6.9,36.6,49.9,46.9,37.0,19.3,0.2121,95.24,123.0
крылатый,50.95,104.1,47.4,36.0,53.9,40.2,38.5,10.8,0.2671,92.83,123.0
археолог,50.77,28.7,78.9,54.1,45.7,31.6,43.1,40.0,0.2668,93.8,123.0
эвфемизм,50.74,0.0,12.4,17.8,18.4,44.4,45.3,135.9,0.4715,87.95,121.0
морфемный,50.45,3.6,12.1,49.2,48.5,46.5,33.0,24.0,0.2812,92.76,123.0
антонимия,50.44,1.2,6.9,73.4,39.3,47.4,30.1,7.1,0.3202,91.64,123.0
иранский,50.33,21.5,68.0,57.7,37.4,28.7,47.0,71.9,0.4167,90.3,120.0
лакский,50.32,6.0,41.3,21.7,26.7,44.0,44.2,1.4,0.6895,81.18,100.0
числительное,49.96,89.8,49.0,28.7,55.6,45.6,30.3,15.5,0.3631,89.88,123.0
пресуппозиция,49.92,0.0,1.8,49.0,56.6,49.7,27.3,21.2,0.3165,91.49,120.0
чередование,49.87,69.4,69.8,65.8,37.0,31.5,40.5,53.6,0.2756,93.06,123.0
диалектологический,49.85,47.9,151.6,71.4,32.1,33.2,30.0,23.0,0.3278,91.61,120.0
референциальный,49.05,0.0,0.7,14.3,34.8,41.6,48.2,23.0,0.2719,93.04,120.0
синонимичный,48.43,25.1,49.2,57.6,44.0,36.9,33.4,58.8,0.1749,95.98,123.0
хакасский,48.31,4.8,123.5,57.6,31.4,31.3,35.5,36.7,0.5269,87.16,118.0
маркированный,48.11,2.4,7.7,30.4,48.1,38.8,42.0,26.3,0.2255,94.15,123.0
рефлексия,47.98,3.6,1.3,2.6,36.0,45.4,42.7,27.7,0.33,91.54,120.0
имперфектив,47.79,1.2,2.0,2.3,9.2,12.0,88.2,91.7,0.6738,77.81,110.0
переходность,47.41,0.0,23.7,45.9,30.6,49.7,26.0,10.8,0.2945,92.44,123.0
адыгейский,47.31,2.4,3.8,8.7,41.3,49.6,31.8,56.4,0.5515,83.92,118.0
глухой,47.19,83.8,109.8,56.5,39.2,27.4,36.6,39.0,0.3273,92.06,123.0
генитив,46.99,0.0,1.5,27.4,47.7,33.8,44.0,104.9,0.4913,86.37,119.0
локализация,46.87,0.0,11.1,15.7,38.3,36.3,46.7,42.8,0.2428,93.38,123.0
родовой,46.74,43.1,51.8,53.0,47.3,36.3,30.2,55.5,0.2125,94.89,123.0
узуальный,46.74,0.0,2.0,29.7,44.9,47.2,29.8,26.8,0.2625,93.93,123.0
машинный,46.27,12.0,11.4,51.6,52.7,42.0,27.7,19.3,0.2823,92.62,123.0
притяжательный,46.2,7.2,69.6,49.1,50.6,27.5,39.6,29.6,0.3716,90.49,123.0
осетинский,46.14,16.8,25.0,33.4,9.2,39.0,42.9,32.9,0.5317,83.56,120.0
туркменский,46.1,13.2,389.0,139.1,17.0,12.6,9.2,4.2,0.6458,79.03,119.0
билингвизм,45.73,0.0,5.6,17.8,26.2,34.9,49.2,30.6,0.393,89.32,123.0
каузативный,45.6,1.2,20.3,43.5,42.2,38.6,33.3,30.1,0.3725,90.49,123.0
частичный,45.49,23.9,24.5,41.5,37.7,38.6,33.3,39.0,0.1515,96.34,123.0
балтийский,45.27,25.1,32.3,29.7,64.6,24.1,46.5,41.4,0.3929,90.7,123.0
инфинитивный,45.16,57.4,8.8,37.6,37.3,34.5,37.0,110.0,0.3295,92.04,123.0
этнолингвистический,45.08,0.0,9.5,11.2,23.5,38.8,44.2,36.2,0.2668,93.94,123.0
переводный,44.94,25.1,19.4,36.5,32.9,37.6,35.5,53.1,0.2023,95.23,123.0
экспрессия,44.92,73.0,29.4,57.0,41.7,38.7,27.3,13.2,0.2205,94.85,123.0
семасиология,44.91,8.4,12.1,56.2,46.0,44.7,22.0,12.7,0.2747,93.98,123.0
метонимия,44.84,7.2,9.0,20.7,34.0,43.7,32.3,48.9,0.3025,91.78,123.0
обстоятельственный,44.53,8.4,23.7,55.1,47.4,38.6,27.2,16.5,0.2752,93.42,122.0
возвратный,44.41,18.0,34.3,52.2,25.7,35.6,34.2,34.3,0.3777,90.74,120.0
инвариантный,44.38,0.0,4.4,44.7,48.1,43.6,25.3,9.9,0.242,94.31,123.0
акустический,44.31,2.4,41.7,53.1,35.7,34.7,32.2,27.7,0.2989,92.93,123.0
востоковед,44.01,4.8,137.9,58.3,23.8,23.2,36.0,30.1,0.3078,91.74,123.0
словник,43.73,20.3,28.3,65.2,38.5,30.9,34.1,20.2,0.2189,94.71,123.0
предикатный,43.44,0.0,16.0,50.2,55.4,40.0,23.2,18.3,0.2712,93.56,123.0
вхождение,43.42,6.0,12.4,25.3,28.5,31.0,43.4,87.0,0.2494,93.3,123.0
дейктический,43.32,0.0,3.6,13.9,37.0,40.2,35.6,28.2,0.3049,92.16,121.0
рифма,43.32,118.5,117.5,46.6,29.5,35.0,22.2,8.0,0.4074,89.28,123.0
атематический,43.3,15.6,23.2,37.2,45.0,38.4,28.6,24.4,0.192,95.19,123.0
посессивный,42.72,0.0,33.2,27.2,23.2,27.3,45.8,68.6,0.4717,86.76,122.0
метонимический,42.53,4.8,6.0,23.6,32.0,43.1,28.4,39.5,0.2562,93.55,123.0
винительный,41.94,88.6,119.4,55.6,30.8,26.6,27.1,20.7,0.3407,91.79,123.0
общеупотребительный,41.78,40.7,33.8,47.0,28.9,36.4,27.9,15.5,0.1903,95.43,123.0
глосса,41.21,26.3,53.9,36.2,31.7,27.2,36.6,43.3,0.2556,93.97,123.0
просодия,41.15,2.4,2.6,34.5,40.5,39.1,26.1,48.0,0.4082,89.78,119.0
фреймовый,41.03,0.0,0.0,0.8,21.3,38.0,39.7,38.6,0.4135,90.33,114.0
гендерный,40.83,0.0,0.0,0.0,0.3,21.2,61.8,127.4,0.5263,84.02,102.0
транскрипция,40.79,75.4,85.4,31.4,25.1,29.4,30.8,43.7,0.2835,93.27,123.0
азбука,40.7,53.9,28.1,24.4,25.2,29.4,40.3,20.2,0.2564,93.58,123.0
гипертекст,40.04,0.0,0.3,0.5,2.3,38.0,42.8,13.2,0.5498,84.51,112.0
словосложение,39.7,8.4,20.6,34.1,26.8,41.4,22.6,6.6,0.3537,91.68,122.0
датский,39.68,37.1,52.9,52.2,27.6,26.9,31.5,30.6,0.2185,94.23,123.0
аорист,39.67,6.0,18.8,18.3,34.6,18.5,51.5,54.1,0.5393,84.09,111.0
вокализм,39.67,7.2,55.5,35.9,35.9,27.3,33.6,11.3,0.3423,92.15,122.0
тропа,39.67,28.7,24.7,31.8,44.1,32.7,27.4,48.9,0.2231,94.64,123.0
чеченский,39.66,1.2,2.9,22.3,11.9,35.8,37.8,6.6,0.7151,79.24,106.0
консонант,39.38,1.2,35.5,43.5,35.1,27.7,32.7,29.2,0.3218,92.06,122.0
грузин,39.33,40.7,65.0,127.7,45.2,16.9,22.4,10.8,0.4565,80.76,123.0
антонимический,39.27,7.2,12.3,58.5,26.3,36.8,23.3,6.1,0.3259,92.3,123.0
подтекст,38.95,38.3,11.1,22.0,49.0,33.2,28.0,42.3,0.3441,90.17,123.0
терминоведения,38.9,0.0,0.0,1.7,20.4,35.5,39.1,8.5,0.3705,91.55,112.0
литовский,38.73,37.1,52.6,68.4,36.1,15.8,38.4,19.3,0.416,88.53,123.0
предикативность,38.62,3.6,29.9,49.0,55.3,30.9,22.5,9.4,0.2836,93.16,122.0
эргатив,38.62,0.0,0.8,9.7,43.6,28.4,40.0,18.3,0.5619,84.92,111.0
архетип,38.15,0.0,16.5,11.6,20.5,31.3,38.6,10.3,0.2815,91.45,123.0
маркирование,37.92,0.0,0.3,2.6,11.0,16.1,61.7,51.2,0.563,76.62,117.0
идиолект,37.79,3.6,1.8,3.5,12.3,34.0,38.8,30.6,0.3767,91.55,120.0
приставочный,37.75,27.5,16.7,22.5,37.3,25.8,35.3,72.4,0.4175,88.45,123.0
детерминант,37.65,0.0,7.8,43.3,32.7,34.3,25.2,6.6,0.3956,88.82,123.0
синтетический,37.54,79.0,29.7,32.8,37.3,28.7,27.1,58.3,0.2518,94.11,123.0
синкретизм,37.24,0.0,6.2,12.2,28.2,38.6,26.1,23.0,0.3328,91.42,123.0
словоизменение,36.92,22.7,29.1,44.5,36.5,28.5,25.5,38.6,0.2687,93.65,123.0
этнолингвистика,36.85,0.0,0.0,2.1,19.3,33.7,36.3,21.2,0.2655,93.77,115.0
перфективный,36.79,0.0,4.9,5.9,7.4,10.2,66.1,50.8,0.6375,74.63,107.0
подчинение,36.75,7.2,51.3,33.6,38.5,31.5,21.6,18.3,0.2255,94.06,123.0
нарративный,36.69,0.0,2.6,1.6,20.0,29.8,40.7,18.3,0.3643,91.57,117.0
безударный,36.45,79.0,61.9,43.0,28.9,23.1,27.1,69.6,0.3261,92.25,123.0
параллелизм,36.32,28.7,42.2,31.7,44.2,26.5,26.9,18.8,0.2339,91.33,123.0
подчинительный,36.32,23.9,35.5,30.1,40.5,34.1,19.5,11.3,0.2749,93.09,123.0
префиксальный,36.25,3.6,6.2,34.5,35.7,30.8,27.2,18.3,0.2748,93.62,122.0
окказионализм,36.15,23.9,10.0,20.6,33.3,33.6,26.5,11.8,0.3809,90.09,123.0
ареальный,36.06,0.0,33.2,53.9,29.0,25.3,27.8,22.6,0.2879,92.99,123.0
деепричастный,35.85,27.5,48.0,53.5,34.9,23.7,24.2,61.6,0.3951,90.66,118.0
генезис,35.67,2.4,19.1,34.3,30.5,28.9,28.3,12.7,0.1465,96.56,123.0
монологический,35.54,2.4,6.7,41.5,49.3,31.4,20.8,4.7,0.3159,92.66,123.0
ассимиляция,35.51,6.0,36.3,28.8,21.0,29.7,27.1,35.7,0.2222,94.8,123.0
императивный,35.27,0.0,18.3,5.1,24.3,30.1,33.9,8.5,0.3644,90.1,123.0
армянский,34.88,7.2,74.2,73.2,15.9,21.2,23.7,32.9,0.4765,86.21,122.0
спряжение,34.77,22.7,40.4,27.0,29.6,16.6,39.0,52.7,0.436,87.73,112.0
венгерский,34.26,23.9,103.9,48.0,38.0,18.7,22.6,16.9,0.4308,88.22,123.0
пароним,34.2,18.0,6.0,27.4,21.9,34.5,22.6,11.3,0.4558,86.7,122.0
эллипс,34.06,7.2,7.7,21.0,33.0,26.7,31.1,11.3,0.3315,91.4,123.0
дистрибутивный,33.97,1.2,6.2,42.6,32.2,27.2,24.7,40.9,0.2144,94.59,123.0
диалектика,33.64,14.4,19.4,58.2,27.0,30.5,17.2,6.6,0.2429,94.11,123.0
компаративный,33.62,1.2,2.3,13.7,32.7,30.3,28.0,7.5,0.3634,90.79,120.0
корейский,33.54,10.8,10.6,7.4,26.7,30.8,27.2,42.3,0.4935,84.97,120.0
аспектология,33.36,0.0,0.5,21.7,36.8,32.9,21.5,8.5,0.2685,93.61,121.0
строфа,33.25,152.0,50.6,47.9,39.8,22.1,20.0,12.7,0.3989,90.42,123.0
каламбур,33.01,107.7,26.6,25.4,27.7,27.8,23.7,6.1,0.4121,87.76,123.0
языковедение,32.77,9.6,11.3,26.6,23.5,30.8,23.5,7.1,0.2235,95.21,123.0
грузинский,32.5,28.7,53.6,111.6,34.8,14.0,17.8,8.9,0.4821,79.84,123.0
енисейский,32.44,4.8,137.6,52.8,12.0,15.1,23.6,28.7,0.4891,87.57,120.0
аккузатив,32.13,2.4,2.1,5.9,16.9,16.8,44.2,73.3,0.5942,80.78,105.0
каракалпакский,32.09,6.0,245.7,115.9,15.5,6.1,7.9,2.4,0.6661,79.29,89.0
эллипсис,31.79,7.2,7.0,17.8,30.1,24.6,29.9,11.3,0.3472,90.95,123.0
вологодский,31.64,31.1,25.3,25.3,22.9,20.2,30.8,53.6,0.3855,90.58,121.0
иронический,31.56,63.4,33.2,29.3,20.5,27.3,21.5,10.8,0.289,92.78,122.0
аффиксальный,31.31,3.6,39.7,41.5,25.3,24.1,21.6,9.9,0.3059,92.35,123.0
диалектизм,31.15,77.8,58.7,31.8,24.3,27.5,15.3,19.3,0.366,90.15,122.0
датив,30.89,0.0,2.8,5.4,19.3,12.8,46.4,62.5,0.5601,83.36,109.0
архаичный,30.83,20.3,28.4,25.7,27.3,22.1,25.9,35.7,0.2125,95.23,123.0
словоизменительный,30.73,9.6,27.4,25.7,34.8,19.9,27.0,38.6,0.3578,91.4,121.0
финитный,30.65,0.0,5.9,29.5,24.8,19.1,31.3,55.5,0.4549,88.58,115.0
фольклорист,30.48,10.8,45.1,40.6,23.5,18.9,25.6,19.3,0.2844,93.58,123.0
клише,30.38,8.4,5.2,11.4,25.5,31.8,19.6,23.0,0.2744,90.81,123.0
агенс,30.32,0.0,2.9,30.7,17.2,21.6,30.8,17.4,0.3752,89.73,122.0
карельский,30.3,12.0,5.6,8.1,18.9,14.2,41.0,92.2,0.5525,77.61,117.0
микрополе,30.1,0.0,0.2,11.0,24.1,36.6,14.9,2.8,0.4479,87.82,113.0
редукция,29.73,6.0,33.3,32.9,21.1,20.2,24.8,48.9,0.2818,91.85,123.0
англицизм,29.67,0.0,0.0,5.9,23.3,26.3,28.0,8.9,0.424,88.65,118.0
волгоградский,29.67,3.6,6.2,9.0,13.5,19.3,37.1,24.9,0.3355,91.55,121.0
слоговой,29.61,7.2,26.3,30.8,21.8,23.5,22.9,12.7,0.3494,91.46,121.0
дистрибуция,29.57,0.0,12.1,28.8,19.7,23.3,24.8,36.2,0.2233,94.71,123.0
концептуализация,29.47,0.0,0.0,0.2,13.1,29.4,27.0,13.2,0.2905,93.87,113.0
древнеанглийский,29.33,0.0,2.0,20.7,25.0,25.9,24.1,4.7,0.5395,87.12,117.0
антропоцентризм,29.26,0.0,0.0,0.4,11.8,27.3,29.4,13.2,0.3058,92.95,111.0
референтный,29.14,0.0,0.3,20.1,26.7,24.7,24.1,31.5,0.2462,94.1,120.0
диалектический,28.88,9.6,33.8,61.1,29.1,21.4,15.1,6.1,0.2449,93.62,123.0
звонкий,28.54,46.7,76.8,44.0,26.0,15.8,19.5,18.3,0.3908,90.3,118.0
редупликация,28.39,0.0,2.3,15.1,9.2,15.8,38.1,39.0,0.5255,80.98,121.0
тюменский,28.17,0.0,8.5,9.4,5.1,29.2,22.6,24.0,0.435,89.41,122.0
ингушский,28.06,2.4,3.8,20.1,8.5,25.6,25.4,1.9,0.6576,78.17,107.0
немецкоязычный,28.01,0.0,0.0,1.8,7.4,17.1,39.9,19.7,0.4947,87.39,110.0
архаизм,27.73,57.4,41.5,25.3,41.4,20.2,16.8,14.1,0.3114,91.64,122.0
креол,27.56,1.2,0.2,3.0,4.4,19.6,36.4,12.2,0.4665,87.63,113.0
перфектный,27.56,0.0,2.6,22.2,22.0,15.8,32.5,19.7,0.4765,76.18,120.0
адвербиальный,27.51,0.0,4.1,21.5,25.7,22.6,23.3,8.9,0.3487,91.17,123.0
калька,27.51,39.5,21.1,34.8,22.7,21.6,19.1,24.9,0.2809,92.52,123.0
плюсквамперфект,27.36,0.0,4.6,10.1,9.7,18.3,31.9,68.6,0.6377,79.48,112.0
презенс,27,1.2,2.1,18.1,23.0,13.9,30.4,112.4,0.4915,87.14,108.0
обособленный,26.81,26.3,40.8,42.1,25.4,20.9,14.4,13.6,0.3273,90.89,123.0
тюркологический,26.69,4.8,168.6,72.8,11.9,8.6,11.5,8.0,0.6054,82.86,89.0
говорение,26.63,27.5,15.0,19.9,23.7,25.6,16.3,15.5,0.2285,94.47,123.0
анафорический,26.43,12.0,4.2,24.1,23.0,23.1,19.2,27.7,0.3599,89.61,123.0
переводной,26.18,31.1,12.7,20.6,18.5,21.3,21.1,37.6,0.2284,94.34,123.0
рязанский,26.17,25.1,26.1,25.0,33.1,15.7,23.4,10.8,0.37,90.54,123.0
сербский,26.12,13.2,21.9,9.7,14.9,13.5,32.3,55.5,0.4516,88.07,118.0
прогрессив,25.99,26.3,40.7,32.1,13.9,14.4,25.3,20.7,0.3807,85.35,123.0
нейтрализация,25.92,15.6,15.4,29.7,25.2,24.2,14.1,17.4,0.2397,93.68,123.0
пунктуационный,25.91,22.7,19.0,11.8,22.8,24.0,18.6,3.3,0.413,89.14,123.0
калькирование,25.75,4.8,11.3,31.2,14.1,20.0,21.7,22.1,0.2997,92.59,123.0
букварь,25.72,2.4,13.9,17.5,6.0,3.2,48.3,1.4,0.7294,56.15,95.0
наречный,25.56,10.8,13.7,24.3,21.4,22.8,17.3,16.0,0.2572,92.54,123.0
тональность,25.55,31.1,15.2,13.9,12.3,20.2,23.5,35.3,0.3211,89.88,123.0
жаргонный,25.48,39.5,13.2,5.8,23.5,27.6,14.0,16.5,0.3798,90.82,123.0
компрессия,25.43,0.0,1.3,26.2,22.3,21.7,20.0,3.8,0.3968,89.01,122.0
антропонимика,25.4,21.5,6.9,9.5,12.5,27.4,17.4,6.6,0.3546,91.81,120.0
составляющая,25.02,0.0,1.0,3.2,12.3,21.1,26.2,25.4,0.2247,94.82,122.0
импликация,24.93,1.2,0.2,14.0,25.9,23.9,17.7,8.9,0.3039,92.15,119.0
южнославянский,24.93,26.3,21.7,13.0,15.6,17.3,25.5,13.6,0.4513,87.83,117.0
граммема,24.87,0.0,0.0,3.6,24.1,11.8,33.9,54.1,0.5788,84.06,106.0
статив,24.79,0.0,0.5,13.1,29.4,14.6,28.3,16.9,0.4913,84.28,118.0
страдательный,24.55,37.1,51.6,47.9,16.0,15.8,15.4,6.1,0.3428,90.9,121.0
западноевропейский,24.51,27.5,34.5,25.8,16.6,20.1,16.2,21.2,0.1779,95.6,123.0
омонимичный,24.5,16.8,19.8,21.6,15.7,22.0,17.1,12.2,0.2815,91.47,123.0
словацкий,24.24,31.1,39.2,25.3,17.0,19.9,15.6,9.9,0.3318,89.28,122.0
избыточность,24.21,13.2,6.0,19.8,13.6,14.2,29.0,9.4,0.3525,78.43,123.0
эллиптический,24.21,3.6,9.8,15.4,38.9,21.4,15.0,3.8,0.4169,89.03,123.0
индикатив,24.19,0.0,28.8,20.9,22.3,12.4,24.7,53.6,0.4064,89.43,120.0
эргативный,24.05,0.0,0.8,7.5,27.6,19.8,22.1,6.1,0.5502,85.12,109.0
социолект,23.94,0.0,0.0,0.5,12.3,22.5,23.1,11.8,0.5381,84.06,110.0
рефлексивный,23.74,0.0,3.1,5.5,14.9,20.8,22.5,20.7,0.3955,87.55,120.0
шведский,23.46,12.0,20.1,21.8,23.3,14.6,22.3,16.0,0.3925,89.28,123.0
инверсия,23.4,28.7,19.1,31.6,13.5,17.1,19.1,9.9,0.3486,87.04,123.0
сигнификат,23.38,0.0,1.6,26.1,34.1,20.7,13.2,20.2,0.2718,93.58,122.0
археология,23.09,7.2,26.1,19.3,17.2,15.7,21.2,18.8,0.2035,95.23,123.0
семема,23.08,0.0,5.2,28.6,23.1,21.7,13.3,6.1,0.3977,90.02,120.0
гипоним,23.06,0.0,0.5,21.8,20.3,18.9,19.5,7.1,0.3374,86.5,117.0
древнегреческий,22.97,34.7,17.0,20.8,20.7,14.9,21.8,9.9,0.2912,93.37,123.0
парцелляция,22.96,0.0,10.5,23.7,16.9,21.9,14.6,6.6,0.4526,85.01,119.0
